index,x,y,captured_at
1,1281,754,2026-03-19T15:38:42
1,1140,1035,2026-03-19T16:26:49
2,1289,1040,2026-03-19T16:26:50
1,1209,986,2026-03-20T13:13:48
2,429,900,2026-03-20T13:14:11
3,407,874,2026-03-20T13:14:16
4,623,682,2026-03-20T13:14:21
5,1639,958,2026-03-20T13:15:07
6,1203,976,2026-03-20T13:15:11
7,733,323,2026-03-20T13:15:17
1,1291,1016,2026-03-20T13:46:59
2,822,352,2026-03-20T13:47:03
3,836,365,2026-03-20T13:47:50
4,1074,980,2026-03-20T13:47:53
5,818,352,2026-03-20T13:48:11
1,1296,1010,2026-03-20T14:05:41
2,1841,533,2026-03-20T14:06:10
1,1521,1170,2026-03-21T14:55:05
2,1514,1265,2026-03-21T14:55:07
3,871,361,2026-03-21T14:56:13
1,1957,912,2026-03-22T05:54:53
2,942,410,2026-03-22T05:55:01
3,1673,920,2026-03-22T05:55:36
1,1945,774,2026-03-23T05:15:38
2,824,810,2026-03-23T05:15:46
3,753,776,2026-03-23T05:15:48
4,1601,590,2026-03-23T05:15:57
5,809,806,2026-03-23T05:16:10
6,768,778,2026-03-23T05:16:12
7,758,775,2026-03-23T05:16:14
8,482,241,2026-03-23T05:16:17
1,749,770,2026-03-23T05:31:13
2,821,811,2026-03-23T05:31:16
3,482,244,2026-03-23T05:31:17
4,479,242,2026-03-23T05:31:19
5,756,768,2026-03-23T05:31:47
6,752,776,2026-03-23T05:32:23
1,1145,1072,2026-03-24T13:37:47
2,1124,1049,2026-03-24T13:37:54
3,1126,1049,2026-03-24T13:38:22
4,475,239,2026-03-24T13:38:26
1,1124,1049,2026-03-24T13:45:04
2,476,242,2026-03-24T13:45:10
3,1120,1154,2026-03-24T13:45:14
4,821,810,2026-03-24T13:46:22
5,753,773,2026-03-24T13:46:25
1,477,273,2026-03-24T13:50:13
2,477,244,2026-03-24T13:50:17
1,1722,1034,2026-03-24T14:18:04
2,1719,1151,2026-03-24T14:18:06
3,477,274,2026-03-24T14:18:09
